Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Austin Golf Club,78669,12/16/2022,94,"24900 W SH
SPICEWOOD, TX 78669",2801719,Routine Inspection
TSO Chinese Delivery,78722,08/25/2023,97,"3909 N IH
AUSTIN, TX 78722",11757980,Routine Inspection
"Local Leaf, LLC",78722,07/18/2022,93,"3505 N IH
AUSTIN, TX 78722",11695670,Routine Inspection
Express Food Mart #5,,07/20/2022,80,,10771946,Routine Inspection
Subway,78723,08/02/2023,93,"5419 N IH
AUSTIN, TX 78723",11979569,Routine Inspection
Starbuck's Coffee #10618,78748,10/24/2023,97,"9300 S IH
AUSTIN, TX 78748",2803137,Routine Inspection
IHOP,78728,05/17/2022,90,"14310 N IH
SVRD SB AUSTIN, TX 78728",2802910,Routine Inspection
"Pluckers-Oak Hill, LLC",78736,01/08/2024,93,"7101 W SH
AUSTIN, TX 78736",11842136,Routine Inspection
Wendy's W123,78702,10/31/2024,95,"619 N IH
AUSTIN, TX 78702",11119164,Routine Inspection
Mariana's Kitchen,78745,06/22/2023,78,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
Smoothie King,78753,04/24/2023,93,"12314 N IH
AUSTIN, TX 78753",12185779,Routine Inspection
AMC Tech Ridge 10,78753,07/12/2023,87,"12625 N IH
AUSTIN, TX 78753",12186410,Routine Inspection
OOB - Eurest-VISA,78727,04/04/2022,99,"12401 RESEARCH BLVD
AUSTIN, TX 78727",12186534,Routine Inspection
Beer Geek,78652,08/01/2024,90,"2051 W FM 1626 RD
AUSTIN, TX 78652",12392375,Routine Inspection
Wines And Whatnots,78724,07/26/2022,100,"14509 FM
AUSTIN, TX 78724",12394493,Routine Inspection
Wanderlust Wine Company LLC,78701,05/26/2022,82,"610 N IH
AUSTIN, TX 78701",12394525,Routine Inspection
BC - McDonalds,78738,05/17/2024,96,"12514 W SH
BEE CAVE, TX 78738",12396738,Routine Inspection
Doubletree by Hilton Austin,78752,07/18/2022,92,"6505 N IH
AUSTIN, TX 78752",12397024,Routine Inspection
OOB - DosiROK,78751,03/29/2024,99,"5610 N IH
AUSTIN, TX 78751",12399398,Routine Inspection
Couch Potato Austin LLC,78756,02/17/2023,100,"900 OLD KOENIG LN
AUSTIN, TX 78756
(30.32838, -97.72597)",10715516,Routine Inspection
Wingstop #188,78753,06/29/2022,100,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",2802892,Routine Inspection
LW - Serene Hills Elementary,78738,10/25/2024,100,"3301 SERENE HILLS DR
LAKEWAY, TX 78738
(30.34848, -97.99699)",10008120,Routine Inspection
Mesa Mart,78759,03/31/2022,94,"8143 MESA DR
AUSTIN, TX 78759
(30.37405, -97.75507)",2804064,Routine Inspection
Flower Child,78758,03/30/2022,97,"11721 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40374, -97.72178)",11606231,Routine Inspection
OOB - Tiny Pies,78704,07/29/2022,91,"1100 S LAMAR BLVD
AUSTIN, TX 78704
(30.25546, -97.76202)",12395451,Routine Inspection
Fried,78744,08/23/2024,95,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12399624,Routine Inspection
Milk + Tea,78727,07/18/2023,94,"1700 W PARMER LN
AUSTIN, TX 78727
(30.41327, -97.68966)",12186435,Routine Inspection
Levy at Q2 Stadium/Upper Concourse Hawkings,78758,06/24/2022,100,"10414 MC KALLA PL
AUSTIN, TX 78758
(30.38667, -97.71812)",12394498,Routine Inspection
PF - Typhoon Texas Waterpark - Fry Shack,78660,06/02/2022,93,"18500 N SH
PFLUGERVILLE, TX 78660
(30.459688, -97.595109)",12393017,Routine Inspection
Chipotle Mexican Grill #3328,78702,07/03/2023,100,"1109 E 5TH ST
AUSTIN, TX 78702
(30.2637, -97.73143)",12186362,Routine Inspection
In-N-Out Burger,78751,01/20/2022,96,"4515 AIRPORT BLVD
AUSTIN, TX 78751
(30.30437, -97.71544)",11050957,Routine Inspection
Cedar Door,78701,01/26/2022,71,"201 BRAZOS ST
AUSTIN, TX 78701
(30.26416, -97.74279)",2802060,Routine Inspection
Jacoby's Restaurant & Mercantile,78702,12/15/2022,86,"3235 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25175, -97.70739)",11188560,Routine Inspection
SV - Luv Thai Cuisine,78745,11/19/2024,86,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23002, -97.81698)",12186165,Routine Inspection
Intelligentsia Coffee,78701,09/13/2022,94,"607 W 3RD ST
AUSTIN, TX 78701
(30.26697, -97.74992)",12185849,Routine Inspection
P F Chang's China Bistro,78701,03/29/2023,77,"201 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.26399, -97.74165)",2801751,Routine Inspection
Filipino Asian Mart,78748,08/29/2022,95,"615 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17218, -97.80102)",11418638,Routine Inspection
Sweet Briar CDC LLC,78745,01/26/2023,91,"205 SANDRA ST
AUSTIN, TX 78745
(30.20464, -97.77672)",11927026,Routine Inspection
Wink,78703,07/12/2022,89,"1014 N LAMAR BLVD
AUSTIN, TX 78703
(30.27559, -97.75217)",2801627,Routine Inspection
Trifecta on 3rd,78701,08/10/2022,96,"360 NUECES ST
AUSTIN, TX 78701
(30.26695, -97.74944)",12393969,Routine Inspection
Gilbert Xpress,78724,09/30/2022,92,"13107 FM
AUSTIN, TX 78724",12394888,Routine Inspection
Pho Dan,78753,07/15/2024,85,"11220 N LAMAR BLVD
AUSTIN, TX 78753
(30.38095, -97.6872)",10044643,Routine Inspection
Meals On Wheels and More,78702,08/05/2022,94,"3227 E 5TH ST
AUSTIN, TX 78702
(30.25443, -97.70604)",2801634,Routine Inspection
Zen Food Mart,78704,01/12/2023,94,"3010 S LAMAR BLVD
AUSTIN, TX 78704
(30.24291, -97.7837)",10589560,Routine Inspection
Whataburger,78729,01/18/2024,96,"6301 W PARMER LN
AUSTIN, TX 78729
(30.44483, -97.74361)",2803042,Routine Inspection
Fajita Pete's,78731,02/01/2024,99,"5523 BALCONES DR
AUSTIN, TX 78731
(30.33674, -97.75734)",12396250,Routine Inspection
"PF - Goddard School, The",78660,03/02/2023,93,"1040 E WELLS BRANCH PKWY
PFLUGERVILLE, TX 78660
(30.42935, -97.63478)",12392731,Routine Inspection
Almost Grown,78620,12/16/2022,97,"18901 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
(30.2865, -98.06555)",11826728,Routine Inspection
Amy's Ice Cream,78748,12/02/2024,94,"9600 S IH
AUSTIN, TX 78748",10014585,Routine Inspection
Pizza Hut,78753,11/15/2023,97,"1015 E BRAKER LN
AUSTIN, TX 78753
(30.37472, -97.67178)",10034421,Routine Inspection
Pok-E-Jo's,78758,02/21/2024,88,"2121 W PARMER LN
AUSTIN, TX 78758
(30.41521, -97.6968)",2801171,Routine Inspection
La Catedral Del Marisco #3,78745,03/13/2023,90,"4118 S IH
AUSTIN, TX 78745",11242428,Routine Inspection
Whole Foods Market - Meat Market,78749,03/28/2022,100,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.21926, -97.84213)",10764422,Routine Inspection
Jet's Pizza,78704,06/21/2023,95,"3003 S LAMAR BLVD
AUSTIN, TX 78704
(30.24213, -97.78309)",12394782,Routine Inspection
Ronnies Real Food,78733,11/29/2023,99,"205 S COMMONS FORD RD
AUSTIN, TX 78733
(30.33334, -97.88552)",2801868,Routine Inspection
Joslin Elementary School,78745,09/12/2023,100,"4500 MANCHACA RD
AUSTIN, TX 78745
(30.22756, -97.79022)",2800329,Routine Inspection
EPIC POKE,78723,11/12/2024,84,"6448 E US
AUSTIN, TX 78723
(30.323455, -97.695526)",12185773,Routine Inspection
Slab BBQ & Beer,78745,03/07/2023,94,"2701 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.20686, -97.81649)",12396264,Routine Inspection
Big Lots # 1749,78757,08/23/2023,89,"8740 RESEARCH BLVD
SB AUSTIN, TX 78757
(30.3647, -97.71919)",11096134,Routine Inspection
OOB - Sodexo- Concordia University,78726,01/13/2022,100,"11400 CONCORDIA UNIVERSITY DR
AUSTIN, TX 78726
(30.4202, -97.84012)",10188779,Routine Inspection
Yellow Jacket Social Club,78702,11/05/2024,85,"1704 E 5TH ST
AUSTIN, TX 78702
(30.26137, -97.72465)",10428064,Routine Inspection
ABIA Food and Fuel,78719,06/30/2023,77,"2901 SPIRIT OF TEXAS DR
AUSTIN, TX 78719
(30.21081, -97.66761)",11961522,Routine Inspection
LW - Flores Mexican Restaurant,78734,10/31/2024,90,"2127 LOHMANS CROSSING RD
LAKEWAY, TX 78734
(30.34262, -97.96989)",10378211,Routine Inspection
Northwest Elementary,78728,05/06/2024,91,"14014 THERMAL DR
AUSTIN, TX 78728
(30.43134, -97.67598)",2800676,Routine Inspection
PF - Lone Star Bar,78660,02/22/2022,92,"403 FM
PFLUGERVILLE, TX 78660
(30.43961, -97.61195)",12186614,Routine Inspection
Costco #681 Retail,78759,10/13/2022,96,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.39697, -97.74514)",2803772,Routine Inspection
New One Taco,78750,03/07/2023,82,"12233 N FM 620 RD
AUSTIN, TX 78750
(30.46183, -97.8146)",12394111,Routine Inspection
Austin Baptist Chapel,78702,04/11/2023,95,"908 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.26069, -97.7349)",2800389,Routine Inspection
Casey Elementary,78748,02/16/2022,100,"9400 TEXAS OAKS DR
AUSTIN, TX 78748
(30.17494, -97.81441)",2801070,Routine Inspection
7-Eleven Convenience Store #36609,78759,03/04/2023,92,"10800 RESEARCH BLVD
AUSTIN, TX 78759
(30.40022, -97.74684)",11017107,Routine Inspection
Cantina 512,78701,01/19/2024,91,"70 RAINEY ST
AUSTIN, TX 78701
(30.25865, -97.73951)",12396372,Routine Inspection
Cipollina,78703,03/01/2022,74,"1213 WEST LYNN ST
AUSTIN, TX 78703
(30.28081, -97.75852)",2801292,Routine Inspection
La Cocina Buena,78753,04/26/2022,100,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",12185806,Routine Inspection
McDonald's,78727,04/12/2023,92,"13813 BURNET RD
AUSTIN, TX 78727
(30.4391, -97.69766)",2802299,Routine Inspection
Las Mangonadas,78753,05/15/2024,94,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",11859946,Routine Inspection
The Barr Mansion,78754,01/05/2024,88,"10463 SPRINKLE RD
AUSTIN, TX 78754
(30.35209, -97.64715)",2800683,Routine Inspection
Dollar General #12304,78754,10/05/2022,86,"12320 DESSAU RD
AUSTIN, TX 78754
(30.38921, -97.64812)",10553368,Routine Inspection
Last Call-PF Neighborhood Bar,78660,05/04/2023,87,"1615 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.45569, -97.65911)",11118618,Routine Inspection
Tacodeli 301 Congress,78701,11/28/2022,90,"301 CONGRESS AVE
AUSTIN, TX 78701
(30.26545, -97.74379)",12185646,Routine Inspection
PF - Dairy Queen,78660,11/13/2024,100,"1701 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44686, -97.63925)",12394854,Follow-Up Inspection
MN - Manor High School Cafeteria,78653,04/05/2024,100,"12700 GREGG MANOR RD
MANOR, TX 78653
(30.35381, -97.56251)",2801408,Routine Inspection
Numero 28 Pizzeria & Vineria,78701,03/28/2022,93,"452 W 2ND ST
AUSTIN, TX 78701
(30.26549, -97.74847)",11111461,Routine Inspection
Dollar Tree #080860,78741,12/07/2023,98,"1508 MONTOPOLIS DR
AUSTIN, TX 78741
(30.22829, -97.70135)",12186014,Routine Inspection
WL - HEB #29,78746,08/27/2024,99,"701 S CAPITAL OF TEXAS HWY NB WEST LAKE HILLS
TX 78746
(30.29182, -97.82749)",10111225,Routine Inspection
Dive Bar,78701,06/15/2022,93,"1703 GUADALUPE ST
AUSTIN, TX 78701
(30.27993, -97.74225)",12394275,Routine Inspection
New One Taco,78753,06/05/2023,94,"500 W CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",12393569,Routine Inspection
Flower Child,78701,08/15/2024,97,"500 W 2ND ST
AUSTIN, TX 78701
(30.26581, -97.74955)",11827308,Routine Inspection
Starbuck's Coffee #6341,78731,01/26/2023,94,"3317 NORTHLAND DR
AUSTIN, TX 78731
(30.33684, -97.75676)",2801363,Routine Inspection
Rosedale School,78757,04/17/2024,100,"7505 SILVERCREST DR
AUSTIN, TX 78757
(30.35324, -97.73711)",12395934,Routine Inspection
Levy at Q2 Stadium/South Main 101,78758,06/24/2022,100,"10414 MC KALLA PL
AUSTIN, TX 78758
(30.38667, -97.71812)",12394500,Routine Inspection
Soto,78704,07/25/2023,82,"1100 S LAMAR BLVD
AUSTIN, TX 78704
(30.25546, -97.76202)",11789891,Routine Inspection
Snarf's,78704,05/31/2023,93,"1400 S 1ST ST
AUSTIN, TX 78704
(30.25045, -97.75477)",11585192,Routine Inspection
Nightcap,78703,11/29/2022,81,"1401 W 6TH ST
AUSTIN, TX 78703
(30.27395, -97.76035)",11444601,Routine Inspection
Casis Elementary,78703,01/17/2023,92,"2710 EXPOSITION BLVD
AUSTIN, TX 78703
(30.30439, -97.76494)",2800590,Routine Inspection
Sweet Briar CDC LLC,78745,02/07/2022,99,"205 SANDRA ST
AUSTIN, TX 78745
(30.20464, -97.77672)",11927026,Routine Inspection
Don Don Express,78750,06/10/2022,88,"11815 N FM 620 RD
AUSTIN, TX 78750
(30.4583, -97.8225)",12186214,Routine Inspection
Humpty's Wall of Breakfast,78757,03/31/2022,98,"8820 BURNET RD
AUSTIN, TX 78757
(30.37092, -97.72789)",12393106,Routine Inspection
ABIA - Parkside,78719,02/28/2024,86,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20476, -97.66733)",12186318,Routine Inspection
Here Nor There,78701,05/24/2024,89,"612 BRAZOS ST
AUSTIN, TX 78701
(30.26841, -97.74121)",11868176,Routine Inspection
Stepping Stone Child Care,78757,04/17/2024,98,"1710 RICHCREEK RD
AUSTIN, TX 78757
(30.34712, -97.7272)",2800498,Routine Inspection
Aviator Pizza & Drafthouse,78727,08/02/2022,83,"4005 W PARMER LN
AUSTIN, TX 78727
(30.42527, -97.71604)",12392893,Follow-Up Inspection
Steiner Ranch Steakhouse,78732,01/04/2022,94,"5424 STEINER RANCH BLVD
AUSTIN, TX 78732
(30.38995, -97.87173)",10211161,Routine Inspection
KLA Schools of Sweetwater,78738,02/08/2022,100,"18101 W SH
AUSTIN, TX 78738",12393064,Routine Inspection
Elephant Room,78701,10/17/2022,95,"315 CONGRESS AVE
AUSTIN, TX 78701
(30.26572, -97.74369)",2800048,Routine Inspection
PF - Jimmy Johns,78660,10/21/2024,94,"1713 FM 685 RD
PFLUGERVILLE, TX 78660
(30.45455, -97.60248)",12392687,Routine Inspection
Big City Bagels and Subs,78750,02/21/2023,85,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.4466, -97.80541)",12140742,Routine Inspection
Potato Club,78613,04/12/2023,87,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47093, -97.80711)",11647833,Routine Inspection
Summer Moon Coffee,78753,05/23/2024,96,"12901 N IH
AUSTIN, TX 78753",12395086,Routine Inspection
Pronto C-Store,78757,02/23/2022,90,"8630 RESEARCH BLVD
SB AUSTIN, TX 78757
(30.3628, -97.71787)",2804040,Routine Inspection
Juice Land,78703,03/11/2024,93,"2307 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.27763, -97.77236)",10004235,Routine Inspection
PF- Duck Donuts,78660,07/05/2023,97,"18616 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.46585, -97.5974)",12392595,Routine Inspection
Taco Aranda,78748,08/25/2022,85,"12115 MANCHACA RD
AUSTIN, TX 78748
(30.14248, -97.83304)",11461607,Routine Inspection
Burnet Food Mart,78756,01/18/2024,93,"5300 BURNET RD
AUSTIN, TX 78756
(30.32602, -97.73986)",2803497,Routine Inspection
Fresa's Chicken al Carbon,78703,11/17/2022,84,"915 N LAMAR BLVD
AUSTIN, TX 78703
(30.2746, -97.75217)",10737724,Routine Inspection
Kebabalicious,78702,01/23/2023,94,"1311 E 7TH ST
AUSTIN, TX 78702
(30.26468, -97.7282)",11039598,Routine Inspection
Mariscos Los Jarochos,78753,05/02/2023,91,"9200 N LAMAR BLVD
AUSTIN, TX 78753
(30.36154, -97.69854)",11064474,Routine Inspection
Jason's Deli,78757,06/25/2024,95,"2438 W ANDERSON LN
AUSTIN, TX 78757
(30.35698, -97.73139)",12149603,Routine Inspection
Blue Owl Brewing,78702,03/17/2022,95,"2400 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25468, -97.71769)",11415491,Routine Inspection
"Commodore Perry Estate, The",78751,04/17/2024,80,"4114 RED RIVER ST
AUSTIN, TX 78751
(30.30056, -97.72196)",12392635,Routine Inspection
"Quarters Market, The",78705,01/16/2024,90,"2222 RIO GRANDE ST
AUSTIN, TX 78705
(30.28633, -97.74481)",11380927,Routine Inspection
Ten Ten,78701,01/23/2024,81,"501 W 6TH ST
AUSTIN, TX 78701
(30.2694, -97.74762)",12186548,Routine Inspection
Charm BBQ Chicken,78750,01/26/2022,75,"12233 N FM 620 RD
AUSTIN, TX 78750
(30.46183, -97.8146)",12151309,Routine Inspection
Chuy's North Lamar,78753,03/08/2022,93,"10520 N LAMAR BLVD
AUSTIN, TX 78753
(30.37509, -97.69067)",10003981,Routine Inspection
Wienerschnitzel #816,78758,02/27/2023,94,"2512 W BRAKER LN
AUSTIN, TX 78758
(30.39099, -97.71954)",10676946,Routine Inspection
Dairy Queen,78757,06/09/2022,98,"8300 BURNET RD
AUSTIN, TX 78757
(30.36312, -97.72953)",2800425,Routine Inspection
Kick Butt Coffee LLC,78752,09/19/2023,90,"5775 AIRPORT BLVD
AUSTIN, TX 78752
(30.3222, -97.71391)",10091957,Routine Inspection
Mama Fu's Asian House,78748,07/29/2022,96,"9600 S IH
AUSTIN, TX 78748",12393997,Routine Inspection
Bon Appetit- Res. Hall IV Dining,78704,02/06/2023,89,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.23233, -97.75858)",10231515,Routine Inspection
Wholly Cow Burgers,78704,10/26/2022,86,"3010 S LAMAR BLVD
AUSTIN, TX 78704
(30.24291, -97.7837)",10514977,Routine Inspection
Dell Seton Medical Center at the University of Texas,78701,01/24/2022,85,"1500 RED RIVER ST
AUSTIN, TX 78701
(30.27626, -97.73372)",11627907,Routine Inspection
C-Mart #10,78748,03/10/2022,91,"3008 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17932, -97.84022)",2803805,Routine Inspection
Teji's Indian Restaurant,78744,06/20/2023,90,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12395952,Routine Inspection
Speedy Stop Store #219,78723,01/26/2023,81,"1660 E 51ST ST
AUSTIN, TX 78723
(30.30445, -97.69923)",2803642,Routine Inspection
OOB - Lifetime Nutrition,78752,07/21/2023,91,"7517 CAMERON RD
AUSTIN, TX 78752
(30.32918, -97.68947)",12185630,Routine Inspection
East Buffet,78744,06/06/2024,74,"6425 S IH
AUSTIN, TX 78744",11869942,Routine Inspection
Chicken Express,78726,10/30/2023,92,"8300 N FM 620 RD
AUSTIN, TX 78726
(30.42109, -97.84694)",10897806,Routine Inspection
Lick Ice Creams,78723,12/06/2023,95,"1905 ALDRICH ST
AUSTIN, TX 78723
(30.29827, -97.70533)",11703726,Routine Inspection
Picole Pops,78758,07/19/2022,86,"11501 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40141, -97.72264)",12394341,Routine Inspection
Flower Child,78758,10/01/2024,89,"11721 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40374, -97.72178)",11606231,Routine Inspection
Cantaloupe Island Draft Cocktails,78752,08/18/2022,100,"1300 E ANDERSON LN
AUSTIN, TX 78752
(30.33584, -97.68806)",12395264,Routine Inspection
"Volstead Lounge, The",78702,06/30/2022,85,"1500 E 6TH ST
AUSTIN, TX 78702
(30.26332, -97.72732)",10546409,Routine Inspection
Cain & Abel's,78705,04/13/2023,76,"2313 RIO GRANDE ST
AUSTIN, TX 78705
(30.28771, -97.74467)",2800382,Routine Inspection
Mr. Gattis Pizza #106,78748,11/28/2023,96,"12110 MANCHACA RD
AUSTIN, TX 78748
(30.14245, -97.83395)",12393641,Routine Inspection
PF - Donut Palace,78660,07/25/2023,92,"100 12TH ST
PFLUGERVILLE, TX 78660
(30.44364, -97.63037)",12392712,Routine Inspection
BC - Tony C's,78738,04/20/2022,86,"12800 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.309414, -97.939901)",12393353,Routine Inspection
Kentucky Fried Chicken,78723,04/25/2023,85,"7206 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.31423, -97.66355)",11789720,Routine Inspection
Hillcrest Elementary School,78744,03/27/2023,100,"6910 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.16546, -97.72988)",2801095,Routine Inspection
Taverna,78758,04/21/2022,84,"3120 PALM WAY
AUSTIN, TX 78758
(30.40288, -97.72253)",11655110,Routine Inspection
Macroband,78702,04/11/2022,90,"1209 E 7TH ST
AUSTIN, TX 78702
(30.2648, -97.72937)",12394094,Routine Inspection
LW - Chicken Express,78734,01/04/2023,98,"2109 S FM 620 RD
LAKEWAY, TX 78734
(30.34251, -97.96687)",2802814,Routine Inspection
Domino's,78705,01/06/2022,91,"1900 GUADALUPE ST
AUSTIN, TX 78705
(30.28189, -97.74248)",12186099,Routine Inspection
Casa Vallarta Restaurant,78744,12/05/2022,87,"6002 BURLESON RD
AUSTIN, TX 78744
(30.2065, -97.7181)",11241808,Routine Inspection
Jack in the Box,78723,04/12/2022,91,"6800 BERKMAN DR
AUSTIN, TX 78723
(30.32029, -97.69075)",11643083,Routine Inspection
Sweetgreen,78704,04/11/2023,100,"1007 S CONGRESS AVE
AUSTIN, TX 78704
(30.25425, -97.74796)",12393165,Routine Inspection
Pokeworks,78757,02/05/2024,85,"3022 W ANDERSON LN
UNIT B AUSTIN, TX 78757
(30.36115, -97.74026)",12398700,Routine Inspection
Taco Shack,78756,11/21/2024,89,"4412 MEDICAL PKWY
AUSTIN, TX 78756
(30.31441, -97.74191)",2800840,Routine Inspection
Jet's Pizza,78748,12/29/2022,86,"8900 S CONGRESS AVE
AUSTIN, TX 78748
(30.16847, -97.78767)",12394251,Routine Inspection
Texas Bar & Grill # 100,78728,10/24/2022,83,"14611 BURNET RD
AUSTIN, TX 78728
(30.45048, -97.69508)",12394548,Routine Inspection
ABIA- Starbucks,78719,10/11/2022,97,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20476, -97.66733)",12186503,Routine Inspection
Circle K #2742110,78729,07/18/2023,95,"13014 POND SPRINGS RD
AUSTIN, TX 78729
(30.44083, -97.77365)",2803623,Routine Inspection
La Posada Mexican Restaurant,78745,01/13/2022,93,"6800 WEST GATE BLVD
AUSTIN, TX 78745
(30.20911, -97.81566)",10972449,Routine Inspection
Pizza Paradise,78758,05/25/2023,93,"1921 CEDAR BEND DR
AUSTIN, TX 78758
(30.40824, -97.69808)",12392910,Routine Inspection
PF - Baris Pasta Pizza,78660,11/07/2022,81,"1501 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44691, -97.63713)",12392359,Routine Inspection
Summit Elementary,78727,09/28/2022,100,"12207 BRIGADOON LN
AUSTIN, TX 78727
(30.41817, -97.71921)",2800286,Routine Inspection
OOB - Great American Cookies - B2,78746,07/06/2022,90,"2901 S CAPITAL OF TEXAS HWY
NB AUSTIN, TX 78746
(30.2592, -97.80587)",2802266,Routine Inspection
Subway,78741,07/17/2024,88,"4410 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23358, -97.72073)",2801808,Routine Inspection
Selam International Mart & Cafe,78753,02/09/2024,88,"10009 N LAMAR BLVD
AUSTIN, TX 78753
(30.36982, -97.69231)",11785453,Routine Inspection
MN - McDonald's of Manor,78653,05/16/2024,98,"12609 LEXINGTON ST
MANOR, TX 78653
(30.34951, -97.55643)",11024988,Routine Inspection
Harmony Science Academy (Austin),78717,09/19/2024,98,"13415 N FM 620 RD
NB AUSTIN, TX 78717
(30.47062, -97.78683)",10655854,Routine Inspection
La Pera,78744,01/20/2023,100,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12397516,Routine Inspection
Domino's Pizza-Store #6404,78741,09/29/2022,96,"720 BASTROP HWY
AUSTIN, TX 78741
(30.23375, -97.68604)",10996583,Routine Inspection
"Continental Retirement Community, The",78735,08/25/2022,88,"4604 S LAMAR BLVD
AUSTIN, TX 78735
(30.23249, -97.80428)",12115672,Routine Inspection
Whole Foods Market - Grocery,78749,03/28/2022,100,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.21926, -97.84213)",10764431,Routine Inspection
Manor Express,78722,10/25/2024,95,"2101 MANOR RD
AUSTIN, TX 78722
(30.28393, -97.71994)",2803762,Routine Inspection
SV- CAVA Grill Sunset Valley,78745,03/13/2024,95,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.2288, -97.82013)",12395417,Routine Inspection
"PF - Shootout, The",78664,12/30/2021,90,"1404 ROYSTON LN
PFLUGERVILLE, TX 78664
(30.45848, -97.65132)",12392616,Routine Inspection
Hop Doddy Burger Bar,78751,10/28/2024,93,"4615 N LAMAR BLVD
AUSTIN, TX 78751
(30.31532, -97.73498)",11588014,Routine Inspection
Chess Club (Flying House LLC),78701,12/15/2022,95,"617 RED RIVER ST
AUSTIN, TX 78701
(30.26729, -97.73691)",12395726,Routine Inspection
COTA - Velocity,78617,03/23/2023,96,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.13246, -97.64184)",12395049,Routine Inspection
Craigo's Pizza and Pastaria,78735,07/22/2022,88,"4970 W US 290 HWY
AUSTIN, TX 78735
(30.23428, -97.81893)",2802243,Routine Inspection
Southside Flying Pizza,78702,08/24/2022,81,"2702 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25357, -97.71382)",11327772,Routine Inspection
Uroko,78721,08/23/2024,92,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.26708, -97.69333)",12168955,Routine Inspection
Shack Food Corner,78721,02/09/2023,72,"1167 WEBBERVILLE RD
AUSTIN, TX 78721
(30.27764, -97.68584)",10189322,Routine Inspection
Paredes Middle School,78748,09/07/2022,100,"10001 DAVID MOORE DR
AUSTIN, TX 78748
(30.16654, -97.81203)",2801098,Routine Inspection
Austin Wellness & Rehabilitation,78750,04/27/2022,96,"11406 RUSTIC ROCK DR
AUSTIN, TX 78750
(30.43002, -97.78252)",12157717,Routine Inspection
Del Valle Donuts,78617,11/12/2024,74,"12800 PEARCE LN
AUSTIN, TX 78617
(30.16944, -97.62188)",10292321,Routine Inspection
"Far Out, The",78748,07/07/2022,96,"109 RALPH ABLANEDO DR
AUSTIN, TX 78748
(30.17314, -97.78577)",12125277,Routine Inspection
Starbucks Coffee Company #65081,78705,05/31/2022,100,"611 W 22ND ST
AUSTIN, TX 78705
(30.28519, -97.74465)",12395575,Routine Inspection
7-Eleven #22245,78704,06/07/2024,87,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.24292, -97.75175)",10159452,Routine Inspection
Elroy & Ross Market,78617,12/05/2023,70,"7200 ELROY RD
AUSTIN, TX 78617
(30.15549, -97.64107)",10969930,Routine Inspection
Dollar General # 6619,78660,04/06/2022,95,"2205 W PECAN ST
AUSTIN, TX 78660
(30.44565, -97.65066)",11152173,Routine Inspection
